"patient","X.Intercept.","score_z"
"SCH1",1,-1.09908951389998
"SCH13",1,-1.0011209771012
"SCH14",1,0.166544875794282
"SCH2",1,1.49389578536542
"SCH3",1,-0.802991928332156
"SCH4",1,0.668133283455406
"SCH5",1,0.20042075774872
"SCH6",1,0.0283908904371099
"SCH7",1,1.21754233883734
"SCH8",1,0.690139584202574
"SCH9",1,-1.56186509650753
